time,poa_global
2020-01-01-00:09:00,0.0
2020-01-01-01:09:00,0.0
2020-01-01-02:09:00,0.0
2020-01-01-03:09:00,0.0
2020-01-01-04:09:00,0.0
2020-01-01-05:09:00,0.0
2020-01-01-06:09:00,31.310000000000002
2020-01-01-07:09:00,295.25
2020-01-01-08:09:00,372.11
2020-01-01-09:09:00,141.11999999999998
2020-01-01-10:09:00,279.59
2020-01-01-11:09:00,286.69
2020-01-01-12:09:00,106.89
2020-01-01-13:09:00,63.379999999999995
2020-01-01-14:09:00,67.24
2020-01-01-15:09:00,0.0
2020-01-01-16:09:00,0.0
2020-01-01-17:09:00,0.0
2020-01-01-18:09:00,0.0
2020-01-01-19:09:00,0.0
2020-01-01-20:09:00,0.0
2020-01-01-21:09:00,0.0
2020-01-01-22:09:00,0.0
2020-01-01-23:09:00,0.0
2020-01-02-00:09:00,0.0
2020-01-02-01:09:00,0.0
2020-01-02-02:09:00,0.0
2020-01-02-03:09:00,0.0
2020-01-02-04:09:00,0.0
2020-01-02-05:09:00,0.0
2020-01-02-06:09:00,9.46
2020-01-02-07:09:00,475.0
2020-01-02-08:09:00,124.64000000000001
2020-01-02-09:09:00,565.42
2020-01-02-10:09:00,899.97
2020-01-02-11:09:00,834.79
2020-01-02-12:09:00,736.67
2020-01-02-13:09:00,60.55
2020-01-02-14:09:00,95.10000000000001
2020-01-02-15:09:00,0.0
2020-01-02-16:09:00,0.0
2020-01-02-17:09:00,0.0
2020-01-02-18:09:00,0.0
2020-01-02-19:09:00,0.0
2020-01-02-20:09:00,0.0
2020-01-02-21:09:00,0.0
2020-01-02-22:09:00,0.0
2020-01-02-23:09:00,0.0
2020-01-03-00:09:00,0.0
2020-01-03-01:09:00,0.0
2020-01-03-02:09:00,0.0
2020-01-03-03:09:00,0.0
2020-01-03-04:09:00,0.0
2020-01-03-05:09:00,0.0
2020-01-03-06:09:00,145.05
2020-01-03-07:09:00,451.97
2020-01-03-08:09:00,654.31
2020-01-03-09:09:00,465.14
2020-01-03-10:09:00,898.3699999999999
2020-01-03-11:09:00,875.58
2020-01-03-12:09:00,776.71
2020-01-03-13:09:00,636.6500000000001
2020-01-03-14:09:00,312.12
2020-01-03-15:09:00,0.0
2020-01-03-16:09:00,0.0
2020-01-03-17:09:00,0.0
2020-01-03-18:09:00,0.0
2020-01-03-19:09:00,0.0
2020-01-03-20:09:00,0.0
2020-01-03-21:09:00,0.0
2020-01-03-22:09:00,0.0
2020-01-03-23:09:00,0.0
2020-01-04-00:09:00,0.0
2020-01-04-01:09:00,0.0
2020-01-04-02:09:00,0.0
2020-01-04-03:09:00,0.0
2020-01-04-04:09:00,0.0
2020-01-04-05:09:00,0.0
2020-01-04-06:09:00,126.56
2020-01-04-07:09:00,425.47
2020-01-04-08:09:00,664.08
2020-01-04-09:09:00,770.85
2020-01-04-10:09:00,888.99
2020-01-04-11:09:00,838.64
2020-01-04-12:09:00,775.74
2020-01-04-13:09:00,621.73
2020-01-04-14:09:00,310.67
2020-01-04-15:09:00,0.0
2020-01-04-16:09:00,0.0
2020-01-04-17:09:00,0.0
2020-01-04-18:09:00,0.0
2020-01-04-19:09:00,0.0
2020-01-04-20:09:00,0.0
2020-01-04-21:09:00,0.0
2020-01-04-22:09:00,0.0
2020-01-04-23:09:00,0.0
2020-01-05-00:09:00,0.0
2020-01-05-01:09:00,0.0
2020-01-05-02:09:00,0.0
2020-01-05-03:09:00,0.0
2020-01-05-04:09:00,0.0
2020-01-05-05:09:00,0.0
2020-01-05-06:09:00,15.13
2020-01-05-07:09:00,30.27
2020-01-05-08:09:00,278.95000000000005
2020-01-05-09:09:00,275.38
2020-01-05-10:09:00,217.29
2020-01-05-11:09:00,776.83
2020-01-05-12:09:00,81.35000000000001
2020-01-05-13:09:00,53.919999999999995
2020-01-05-14:09:00,119.99000000000001
2020-01-05-15:09:00,0.0
2020-01-05-16:09:00,0.0
2020-01-05-17:09:00,0.0
2020-01-05-18:09:00,0.0
2020-01-05-19:09:00,0.0
2020-01-05-20:09:00,0.0
2020-01-05-21:09:00,0.0
2020-01-05-22:09:00,0.0
2020-01-05-23:09:00,0.0
2020-01-06-00:09:00,0.0
2020-01-06-01:09:00,0.0
2020-01-06-02:09:00,0.0
2020-01-06-03:09:00,0.0
2020-01-06-04:09:00,0.0
2020-01-06-05:09:00,0.0
2020-01-06-06:09:00,95.61
2020-01-06-07:09:00,123.19
2020-01-06-08:09:00,180.23000000000002
2020-01-06-09:09:00,250.93
2020-01-06-10:09:00,495.40999999999997
2020-01-06-11:09:00,331.19
2020-01-06-12:09:00,454.51
2020-01-06-13:09:00,149.02
2020-01-06-14:09:00,60.699999999999996
2020-01-06-15:09:00,0.0
2020-01-06-16:09:00,0.0
2020-01-06-17:09:00,0.0
2020-01-06-18:09:00,0.0
2020-01-06-19:09:00,0.0
2020-01-06-20:09:00,0.0
2020-01-06-21:09:00,0.0
2020-01-06-22:09:00,0.0
2020-01-06-23:09:00,0.0
2020-01-07-00:09:00,0.0
2020-01-07-01:09:00,0.0
2020-01-07-02:09:00,0.0
2020-01-07-03:09:00,0.0
2020-01-07-04:09:00,0.0
2020-01-07-05:09:00,0.0
2020-01-07-06:09:00,89.93
2020-01-07-07:09:00,247.6
2020-01-07-08:09:00,118.57000000000001
2020-01-07-09:09:00,110.67999999999999
2020-01-07-10:09:00,157.12
2020-01-07-11:09:00,234.19
2020-01-07-12:09:00,421.03999999999996
2020-01-07-13:09:00,629.28
2020-01-07-14:09:00,58.75999999999999
2020-01-07-15:09:00,0.0
2020-01-07-16:09:00,0.0
2020-01-07-17:09:00,0.0
2020-01-07-18:09:00,0.0
2020-01-07-19:09:00,0.0
2020-01-07-20:09:00,0.0
2020-01-07-21:09:00,0.0
2020-01-07-22:09:00,0.0
2020-01-07-23:09:00,0.0
2020-01-08-00:09:00,0.0
2020-01-08-01:09:00,0.0
2020-01-08-02:09:00,0.0
2020-01-08-03:09:00,0.0
2020-01-08-04:09:00,0.0
2020-01-08-05:09:00,0.0
2020-01-08-06:09:00,141.53
2020-01-08-07:09:00,471.54
2020-01-08-08:09:00,638.73
2020-01-08-09:09:00,758.07
2020-01-08-10:09:00,877.9200000000001
2020-01-08-11:09:00,628.05
2020-01-08-12:09:00,736.94
2020-01-08-13:09:00,548.63
2020-01-08-14:09:00,176.41
2020-01-08-15:09:00,0.0
2020-01-08-16:09:00,0.0
2020-01-08-17:09:00,0.0
2020-01-08-18:09:00,0.0
2020-01-08-19:09:00,0.0
2020-01-08-20:09:00,0.0
2020-01-08-21:09:00,0.0
2020-01-08-22:09:00,0.0
2020-01-08-23:09:00,0.0
2020-01-09-00:09:00,0.0
2020-01-09-01:09:00,0.0
2020-01-09-02:09:00,0.0
2020-01-09-03:09:00,0.0
2020-01-09-04:09:00,0.0
2020-01-09-05:09:00,0.0
2020-01-09-06:09:00,122.92999999999999
2020-01-09-07:09:00,255.56
2020-01-09-08:09:00,255.07
2020-01-09-09:09:00,702.48
2020-01-09-10:09:00,850.05
2020-01-09-11:09:00,860.67
2020-01-09-12:09:00,753.75
2020-01-09-13:09:00,584.8199999999999
2020-01-09-14:09:00,335.66
2020-01-09-15:09:00,0.0
2020-01-09-16:09:00,0.0
2020-01-09-17:09:00,0.0
2020-01-09-18:09:00,0.0
2020-01-09-19:09:00,0.0
2020-01-09-20:09:00,0.0
2020-01-09-21:09:00,0.0
2020-01-09-22:09:00,0.0
2020-01-09-23:09:00,0.0
2020-01-10-00:09:00,0.0
2020-01-10-01:09:00,0.0
2020-01-10-02:09:00,0.0
2020-01-10-03:09:00,0.0
2020-01-10-04:09:00,0.0
2020-01-10-05:09:00,0.0
2020-01-10-06:09:00,130.47
2020-01-10-07:09:00,432.06
2020-01-10-08:09:00,651.96
2020-01-10-09:09:00,773.7
2020-01-10-10:09:00,887.81
2020-01-10-11:09:00,863.3
2020-01-10-12:09:00,776.12
2020-01-10-13:09:00,599.26
2020-01-10-14:09:00,328.04
2020-01-10-15:09:00,0.0
2020-01-10-16:09:00,0.0
2020-01-10-17:09:00,0.0
2020-01-10-18:09:00,0.0
2020-01-10-19:09:00,0.0
2020-01-10-20:09:00,0.0
2020-01-10-21:09:00,0.0
2020-01-10-22:09:00,0.0
2020-01-10-23:09:00,0.0
2020-01-11-00:09:00,0.0
2020-01-11-01:09:00,0.0
2020-01-11-02:09:00,0.0
2020-01-11-03:09:00,0.0
2020-01-11-04:09:00,0.0
2020-01-11-05:09:00,0.0
2020-01-11-06:09:00,120.61
2020-01-11-07:09:00,422.88
2020-01-11-08:09:00,657.1500000000001
2020-01-11-09:09:00,809.6
2020-01-11-10:09:00,889.8499999999999
2020-01-11-11:09:00,872.8399999999999
2020-01-11-12:09:00,784.2
2020-01-11-13:09:00,574.8199999999999
2020-01-11-14:09:00,113.74
2020-01-11-15:09:00,0.0
2020-01-11-16:09:00,0.0
2020-01-11-17:09:00,0.0
2020-01-11-18:09:00,0.0
2020-01-11-19:09:00,0.0
2020-01-11-20:09:00,0.0
2020-01-11-21:09:00,0.0
2020-01-11-22:09:00,0.0
2020-01-11-23:09:00,0.0
2020-01-12-00:09:00,0.0
2020-01-12-01:09:00,0.0
2020-01-12-02:09:00,0.0
2020-01-12-03:09:00,0.0
2020-01-12-04:09:00,0.0
2020-01-12-05:09:00,0.0
2020-01-12-06:09:00,110.79
2020-01-12-07:09:00,412.6
2020-01-12-08:09:00,627.2
2020-01-12-09:09:00,781.8100000000001
2020-01-12-10:09:00,883.38
2020-01-12-11:09:00,787.41
2020-01-12-12:09:00,572.66
2020-01-12-13:09:00,603.68
2020-01-12-14:09:00,392.94000000000005
2020-01-12-15:09:00,0.0
2020-01-12-16:09:00,0.0
2020-01-12-17:09:00,0.0
2020-01-12-18:09:00,0.0
2020-01-12-19:09:00,0.0
2020-01-12-20:09:00,0.0
2020-01-12-21:09:00,0.0
2020-01-12-22:09:00,0.0
2020-01-12-23:09:00,0.0
2020-01-13-00:09:00,0.0
2020-01-13-01:09:00,0.0
2020-01-13-02:09:00,0.0
2020-01-13-03:09:00,0.0
2020-01-13-04:09:00,0.0
2020-01-13-05:09:00,0.0
2020-01-13-06:09:00,143.89
2020-01-13-07:09:00,427.85
